repo,pr_number,category,pr_url,commit,commit_url,initial_flag,refactoring_type,refactoring_detail,confirmed_refactoring_flag,covered_refactoring_flag,floss_refactoring_flag,notes
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,d5e062fb287ce8a4fa60a7aff367b95425889ac3,https://github.com/apache/flink/commit/d5e062fb287ce8a4fa60a7aff367b95425889ac3,True,Extract Superclass,"org.apache.flink.table.typeutils.PagedTypeSerializer from classes [org.apache.flink.table.typeutils.BaseRowSerializer, org.apache.flink.table.typeutils.BinaryRowSerializer]",,,,
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,42d2f013233d5d7bbc8cb7235bd322e6e3c5fef6,https://github.com/apache/flink/commit/42d2f013233d5d7bbc8cb7235bd322e6e3c5fef6,False,Change Return Type,"boolean to void in method private load(numElements long, recordInputView RandomAccessInputView) : void in class org.apache.flink.table.runtime.sort.BinaryKVInMemorySortBuffer",true,false,false,No notes.
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,https://github.com/apache/flink/commit/97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,False,Rename Class,org.apache.flink.table.typeutils.PagedTypeSerializer renamed to org.apache.flink.table.typeutils.AbstractRowSerializer,true,false,false,No notes.
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,https://github.com/apache/flink/commit/97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,False,Change Attribute Type,inputSerializer : PagedTypeSerializer<BaseRow> to inputSerializer : AbstractRowSerializer<BaseRow> in class org.apache.flink.table.runtime.sort.BinaryInMemorySortBuffer,true,false,false,Refactoring due to a Rename Class.
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,https://github.com/apache/flink/commit/97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,False,Change Parameter Type,"inputSerializer : PagedTypeSerializer<BaseRow> to inputSerializer : AbstractRowSerializer<BaseRow> in method public createBuffer(normalizedKeyComputer NormalizedKeyComputer, inputSerializer AbstractRowSerializer<BaseRow>, serializer BinaryRowSerializer, comparator RecordComparator, memory List<MemorySegment>) : BinaryInMemorySortBuffer in class org.apache.flink.table.runtime.sort.BinaryInMemorySortBuffer",true,false,false,Refactoring due to a Rename Class.
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,https://github.com/apache/flink/commit/97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,False,Change Parameter Type,"inputSerializer : PagedTypeSerializer<BaseRow> to inputSerializer : AbstractRowSerializer<BaseRow> in method private BinaryInMemorySortBuffer(normalizedKeyComputer NormalizedKeyComputer, inputSerializer AbstractRowSerializer<BaseRow>, serializer BinaryRowSerializer, comparator RecordComparator, recordBufferSegments ArrayList<MemorySegment>, recordCollector SimpleCollectingOutputView, pool MemorySegmentPool, totalNumBuffers int) in class org.apache.flink.table.runtime.sort.BinaryInMemorySortBuffer",true,false,false,Refactoring due to a Rename Class.
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,https://github.com/apache/flink/commit/97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,False,Rename Method,private compareComplex(other BinaryString) : int renamed to private compareMultiSegments(other BinaryString) : int in class org.apache.flink.table.dataformat.BinaryString,true,false,false,No notes.
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,https://github.com/apache/flink/commit/97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,False,Change Parameter Type,"inputSerializer : PagedTypeSerializer<BaseRow> to inputSerializer : AbstractRowSerializer<BaseRow> in method public BinaryExternalSorter(owner Object, memoryManager MemoryManager, reservedMemorySize long, ioManager IOManager, inputSerializer AbstractRowSerializer<BaseRow>, serializer BinaryRowSerializer, normalizedKeyComputer NormalizedKeyComputer, comparator RecordComparator, conf Configuration) in class org.apache.flink.table.runtime.sort.BinaryExternalSorter",true,false,false,Refactoring due to a Rename Class.
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,https://github.com/apache/flink/commit/97dc621e0c7fc5f8cf57c19a0a21b4cb3a27967a,False,Change Parameter Type,"inputSerializer : PagedTypeSerializer<BaseRow> to inputSerializer : AbstractRowSerializer<BaseRow> in method public BinaryExternalSorter(owner Object, memoryManager MemoryManager, reservedMemorySize long, ioManager IOManager, inputSerializer AbstractRowSerializer<BaseRow>, serializer BinaryRowSerializer, normalizedKeyComputer NormalizedKeyComputer, comparator RecordComparator, conf Configuration, startSpillingFraction float) in class org.apache.flink.table.runtime.sort.BinaryExternalSorter",true,false,false,Refactoring due to a Rename Class.
apache/flink,7945,refactoring-inducing PR,https://github.com/apache/flink/pull/7945,f71ae067a091c8ddbfa86ceac6cd3d3c164500b4,https://github.com/apache/flink/commit/f71ae067a091c8ddbfa86ceac6cd3d3c164500b4,False,Move And Rename Class,org.apache.flink.table.dataformat.DataFormatUtil moved and renamed to org.apache.flink.table.runtime.sort.SortUtil,true,true,false,Addressing a review comment | Refactoring inspired by a review comment regarding responsabilities.
